SDG,keyword,frequency,elsevier_word,max_weight,relevance_score
12,recycling,69,True,67.0,4623.0
12,waste,68,True,15.98,1086.64
12,landfill,65,True,12.72,826.8000000000001
12,recycle,56,True,41.98,2350.8799999999997
12,recycled,45,True,13.23,595.35
12,garbage,45,,3.57,160.65
12,wastewater,39,,3.57,139.23
12,composting,38,True,21.91,832.58
12,trash,36,,3.57,128.51999999999998
12,landfills,34,,3.57,121.38
12,waste disposal,33,True,21.61,713.13
12,hazardous waste,32,True,14.25,456.0
12,recyclable materials,31,,3.57,110.67
12,recyclable,30,True,5.21,156.3
12,sustainable,28,True,9.42,263.76
12,incineration,28,True,5.12,143.36
12,compost,28,,3.57,99.96
12,sewage,28,,3.57,99.96
12,waste management,27,True,13.75,371.25
12,disposal,27,True,8.77,236.79
12,sustainability,27,True,4.42,119.34
12,recyclables,27,,3.57,96.39
12,eco,27,,3.57,96.39
12,biosolids,27,,3.57,96.39
12,biomass,26,,3.57,92.82
12,solid waste,25,,3.57,89.25
12,reuse,25,,3.57,89.25
12,curbside recycling,25,,3.57,89.25
12,environmental,24,True,6.31,151.44
12,solid waste management,24,,3.57,85.67999999999999
12,compostable,23,,3.57,82.11
12,litter,22,,3.57,78.53999999999999
12,rubbish,22,,3.57,78.53999999999999
12,recycled materials,21,,3.57,74.97
12,sludge,21,,3.57,74.97
12,groundwater,21,,3.57,74.97
12,greener,21,,3.57,74.97
12,incinerator,20,True,4.82,96.4
12,contaminated soil,20,,3.57,71.39999999999999
12,recycler,19,,3.57,67.83
12,recyclers,19,,3.57,67.83
12,environmentally sound,19,,3.57,67.83
12,effluent,19,,3.57,67.83
12,recycling bins,18,,3.57,64.25999999999999
12,composted,18,,3.57,64.25999999999999
12,pollution,18,,3.57,64.25999999999999
12,wastewater treatment,18,,3.57,64.25999999999999
12,allied waste,17,,3.57,60.69
12,recycling bin,17,,3.57,60.69
12,bins,17,,3.57,60.69
12,renewable,17,,3.57,60.69
12,environmentally friendly,17,,3.57,60.69
12,wastes,17,,3.57,60.69
12,toxic waste,17,,3.57,60.69
12,biodegradable,17,,3.57,60.69
12,renewable energy,16,,3.57,57.12
12,curbside,16,,3.57,57.12
12,environmentally conscious,16,,3.57,57.12
12,garbage disposal,16,,3.57,57.12
12,sewer,16,,3.57,57.12
12,radioactive waste,15,True,6.51,97.64999999999999
12,recycles,15,,3.57,53.55
12,haulers,15,,3.57,53.55
12,incinerators,15,,3.57,53.55
12,sewage treatment,15,,3.57,53.55
12,stormwater,15,,3.57,53.55
12,recycled plastic,15,,3.57,53.55
12,eco conscious,15,,3.57,53.55
12,greening,15,,3.57,53.55
12,dump,14,,3.57,49.98
12,environmentally responsible,14,,3.57,49.98
12,coal ash,14,,3.57,49.98
12,eco friendly,14,,3.57,49.98
12,hazardous chemicals,14,,3.57,49.98
12,environmentally,14,,3.57,49.98
12,environmentally sustainable,14,,3.57,49.98
12,conservation,14,,3.57,49.98
12,organics,13,,3.57,46.41
12,manure,13,,3.57,46.41
12,reusable bags,13,,3.57,46.41
12,carbon neutral,13,,3.57,46.41
12,ecological,12,True,5.36,64.32000000000001
12,plastics,12,,3.57,42.839999999999996
12,aluminum cans,12,,3.57,42.839999999999996
12,sanitation,12,,3.57,42.839999999999996
12,covanta,12,,3.57,42.839999999999996
12,trash pickup,12,,3.57,42.839999999999996
12,dumpster,12,,3.57,42.839999999999996
12,pollutants,12,,3.57,42.839999999999996
12,toxic chemicals,12,,3.57,42.839999999999996
12,raw sewage,12,,3.57,42.839999999999996
12,wood chips,12,,3.57,42.839999999999996
12,carbon footprint,12,,3.57,42.839999999999996
12,scrap,11,True,4.11,45.21
12,biofuels,11,,3.57,39.269999999999996
12,tailings,11,,3.57,39.269999999999996
12,garbage pickup,11,,3.57,39.269999999999996
12,stormwater runoff,11,,3.57,39.269999999999996
12,reusing,11,,3.57,39.269999999999996
12,plastic bags,11,,3.57,39.269999999999996
12,pollutant,11,,3.57,39.269999999999996
12,biogas,11,,3.57,39.269999999999996
12,greenest,11,,3.57,39.269999999999996
12,ecologically,11,,3.57,39.269999999999996
12,hazardous,10,True,6.04,60.4
12,veolia,10,,3.57,35.699999999999996
12,dumping,10,,3.57,35.699999999999996
12,gasification,10,,3.57,35.699999999999996
12,deq,10,,3.57,35.699999999999996
12,septic systems,10,,3.57,35.699999999999996
12,septic tanks,10,,3.57,35.699999999999996
12,reusable,10,,3.57,35.699999999999996
12,toxic substances,10,,3.57,35.699999999999996
12,contaminants,10,,3.57,35.699999999999996
12,polluting,10,,3.57,35.699999999999996
12,hazardous materials,10,,3.57,35.699999999999996
12,organic,10,,3.57,35.699999999999996
12,environmental stewardship,10,,3.57,35.699999999999996
12,ecology,10,,3.57,35.699999999999996
12,green,9,True,3.71,33.39
12,wrap,9,,3.57,32.129999999999995
