SDG,keyword,frequency,elsevier_word,max_weight,relevance_score
5,sexuality,38,True,3.35,127.3
5,racism,32,,2.93,93.76
5,gender,30,True,16.62,498.6
5,discrimination,30,,2.93,87.9
5,women,29,True,12.87,373.22999999999996
5,feminist,27,True,10.86,293.21999999999997
5,sexual,25,True,5.17,129.25
5,gays,24,,2.93,70.32000000000001
5,sexism,23,True,11.73,269.79
5,homophobia,22,,2.93,64.46000000000001
5,misogyny,21,True,6.95,145.95000000000002
5,equality,20,True,4.27,85.39999999999999
5,racial,20,,2.93,58.6
5,sex,19,True,3.48,66.12
5,affirmative action,19,,2.93,55.67
5,homosexuality,18,,2.93,52.74
5,lesbian,18,,2.93,52.74
5,anti semitism,18,,2.93,52.74
5,feminism,17,True,6.39,108.63
5,gay,17,,2.93,49.81
5,bias,16,True,4.93,78.88
5,sexist,16,True,3.0,48.0
5,lesbians,16,,2.93,46.88
5,transgender,16,,2.93,46.88
5,racist,16,,2.93,46.88
5,stereotyping,16,,2.93,46.88
5,political correctness,16,,2.93,46.88
5,bigotry,16,,2.93,46.88
5,motherhood,15,,2.93,43.95
5,womens,15,,2.93,43.95
5,females,15,,2.93,43.95
5,prejudice,15,,2.93,43.95
5,gender bias,14,True,7.35,102.89999999999999
5,girls,14,True,4.48,62.720000000000006
5,marriage,14,True,3.34,46.76
5,monogamy,14,,2.93,41.02
5,queer,14,,2.93,41.02
5,heterosexual,14,,2.93,41.02
5,rape,14,,2.93,41.02
5,female,13,True,7.93,103.09
5,stereotypes,13,True,4.35,56.55
5,gay marriage,13,,2.93,38.09
5,liberalism,13,,2.93,38.09
5,homophobic,13,,2.93,38.09
5,gender equality,13,,2.93,38.09
5,racial prejudice,13,,2.93,38.09
5,racial bias,13,,2.93,38.09
5,ignorance,13,,2.93,38.09
5,bullying,12,,2.93,35.160000000000004
5,feminists,12,,2.93,35.160000000000004
5,prejudices,12,,2.93,35.160000000000004
5,men,12,,2.93,35.160000000000004
5,minorities,12,,2.93,35.160000000000004
5,masculinity,11,True,4.08,44.88
5,sexually,11,True,3.05,33.55
5,masturbation,11,,2.93,32.230000000000004
5,sexually active,11,,2.93,32.230000000000004
5,homosexual,11,,2.93,32.230000000000004
5,elitism,11,,2.93,32.230000000000004
5,intolerance,11,,2.93,32.230000000000004
5,diversity,10,True,3.31,33.1
5,girl,10,True,3.18,31.8
5,religion,10,,2.93,29.3
5,bisexual,10,,2.93,29.3
5,misogynistic,10,,2.93,29.3
5,hateful,10,,2.93,29.3
5,masculine,10,,2.93,29.3
5,civil rights,10,,2.93,29.3
5,male,10,,2.93,29.3
5,sexes,10,,2.93,29.3
5,males,10,,2.93,29.3
5,snobbery,10,,2.93,29.3
5,racial discrimination,10,,2.93,29.3
5,islamophobia,10,,2.93,29.3
5,negativity,10,,2.93,29.3
5,bigots,10,,2.93,29.3
5,hatred,10,,2.93,29.3
5,patriarchal,10,,2.93,29.3
5,woman,9,True,5.23,47.07000000000001
