SDG 1,SDG 2,SDG3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17,Misc
Africa,Agricultural Orientation index,Access to clean water and sanitation,Access to education,Basic living standards,Accessible water,Affordable energy,Aid for trade,Access to the internet,Affordable housing,Adaptable,Capitalism,Average global temperature,Artisanal fishers,Afforestation,Abuse,Capacity building,Accountability
Basic services,Agricultural productivity,Affordable medicines,Basic education,Dignity,Affordable drinking water,Alternative energy,Banking,Affordable access,Age,Adaptation,Cars,Carbon,Biodiversity,Agriculture,Accountability,Civil society partnerships,Alternative energy
Class,Agriculture,AIDS,Basic literacy,Disadvantaged,Aquifer,Animal waste,Child labour,Affordable credit,Ageism,Affordable housing,Circular economy,Carbon dioxide,Carbon dioxide,Animals,Accountable institutions,Communication technologies,Biodiversity
Developing countries,Consume,Air contamination,Basic literacy skills,Discrimination,Cities,Battery,Child soldiers,Clean technologies,Business,Air pollution,Commercial enterprises,Changing weather patterns,Coastal biodiversity,Arable land,Arbitrary detention,Debt sustainability,Capacity building
Disadvantaged,Crop diversity,Air pollution,Cultural diversity,Employment,Clean water,Carbon,Creativity and innovation,Cooperation,Children,Air quality,Consumer levels,Climate,Coastal ecosystems,Bees,Arms,Development assistance,Caring for country
Economic resources,Crops,Alcohol abuse,Disability,Empower girls,Contaminated,Charcoal,Culture,Data banks,Culture,Cities,Consumerism,Climate action,Coastal habitats,Biodiversity,Arms trafficking,Disaggregated data,CO2 emissions
End poverty,Doha Development Round / Doha Round,Antenatal care,Disability and education,Empowerment,Defecation,Clean energy,Decent work,Economic development,Developing countries,Climate change,Consumption,Climate adaptation,Coastal parks,Biodiversity loss,Birth registration,Doha Development Agenda,Developing countries
Environment,End hunger,Antiretroviral,Early childhood,Empowerment of women / empower women / women's empowerment,Desalination,Clean energy technology,Decent work for all,Electrical power,Developing states,Community,Deep decarbonisation,Climate and gender,Coastal resources,Conservation,Bribery,Entrepreneurship,Disability
Equality,Environment,Antiretroviral therapy,Early childhood development,Equal access,Diarrhoeal diseases,Clean fuel technology,Development oriented policy,Energy,Development assistance,Cultural heritage,Ecological,Climate and infectious disease,Coastlines,Deforestation,Combat terrorism,Environmentally sound technologies,Eco tourism
Extreme poverty,Food,Biomedical,Education,Equal opportunities,Drought,Clean fuels,Economic growth,Enterprises,Disabilities,Decentralisation,Efficient use of resources,Climate and politics,Conserve,Desertification,Conflict resolution,Foreign direct investments,Ecology
Financial inclusion,Food gap,Bodily autonomy,Education for sustainability,Equality,Dumping,Cleaner fossil fuel technology,Economic productivity,Environmentally sound technologies,Discrimination,Development planning,Energy,Climate change,Conserve oceans,Drought,Conflicts,Fostering innovation,Energy efficiency
Income,Food production,Child deaths,Education in developing,Exploitation,Ecosystem protection,Climate goal,Economy,Financial services,Discriminatory,Disaster management,Energy consumption,Climate change management,Coral bleaching,Drylands,Corruption,Free trade,Environment
Income equality,Food reserves,Contraceptive use,Enrolment,Female genital mutilation,Ecosystem restoration,Coal,Enterprises,ICT infrastructure,Economy,Disaster risk reduction,Energy efficiency,Climate change planning,Coral reef,Ecosystem,Discrimination,Fundamental principles of official statistics,Environmental
Microfinance,Food Security,Death rate,Equal access,Feminism,Equitable sanitation,Electricity,Entrepreneurship,Industrial diversification,Education,Disaster Strategy,Energy use,Climate change policy,Ecosystem management,Ecosystem restoration,Education,Global partnership,Environmental degradation
Non-discrimination,Genetic diversity,Dental,Equal education,Forced marriage,Floods,Electricity infrastructure,Equal pay,Industrialisation,Empower,Disasters,Food,Climate early warning,Fish species,Ecosystems,Enforced disappearance,Global partnership for sustainable development,Environmental policy
Poor,Genetic diversity of seeds,Disability and family support,Equitable education,Gender,Fresh water,Emissions,Finance,Information and communication technology,Equal opportunity,Fine particulate matter,Food losses,Climate hazards,Fish stocks,Extinct,Equal access,Global stability,Environmental sustainability
Poor and vulnerable,Genetics,Disability and inclusion,Gender disparities in education,Gender discrimination,Hydropower,Energy,Financial services,Infrastructure,Equality,Green spaces,Food supply,Climate impact,Fish stocks AND FISHERIES MANAGEMENT,Extinct species,Equity,International aid,Equal rights to economic resources
Poverty,Hunger,Disability and politics of location,Gender disparity,Gender equality/parity,Hygiene,Energy efficiency,Forced labour,Innovation,Equity,Heritage,Food waste,Climate mitigation,Fisheries,Extinction,Exploitation,International cooperation,Ethical
Poverty eradication,Hungry people,Diseases,Gender equality,Governance and gender,Improving water,Energy infrastructure,GDP growth,Internet access,Ethnicity,Housing,Fossil fuel subsidies,Climate refugees,Fishers,Forest,Flow of arms,International population and housing census,Food-energy-water nexus / Water-energy-food nexus
Poverty line,Improved nutrition,Family planning,Gender equity,Human rights,Inadequate water,Energy research,Global resource efficiency,Irrigation,Financial assistance,Human settlements,Future proof,Climate related hazards,Fishing,Forest management,Freedom,International support,Forced displacement
Quality of Life,Innovations and health,Health,Gender sensitive,Human trafficking,Inadequate water supply,Energy technology,Global trade,Knowledge in education for all,Foreign aid,Impact  of cities,Global food waste,Climate resilience,Fishing practices,Forests,Geography of poverty,International support for developing countries,Good governance
Resources,Legumes,Health in resource-constrained settings,Global citizenship,Humanitarian,Infrastructure,Fossil-fuel,Gross domestic product growth,Mobile networks in developing countries,Foreign investment,Inadequate housing,Greenhouse gasses,CO2 capture,Global warming,Genetic resources,Governance,Knowledge sharing,Governance
Social protection systems / social protection,Maize,Health worker density,Global education,Marginalised,Irrigation,Green economy,Human trafficking,National Security,Gender,Informal settlements,Harvest losses,CO2 conversion,Illegal fishing,Illegal wildlife products,Hate crime,Multi-stakeholder partnerships,Governance and policy
Sustainable,Malnourished,Healthy,Inclusion and education,Parity,Lakes,Greenhouse gas,Inclusive economic growth,Network infrastructure,Global financial markets,Infrastructure,Life cycle,COP 21,Kelp,Illicit trafficking,Human rights,Poverty eradication,Governance and risk
Third World,Malnutrition,Healthy lives,Inclusive,Pay,Latrines,Greenhouse gas emissions,Innovation,Phone service,Health,Land,Market distortions,COP 22,Law of the Sea,Indigenous,Human trafficking,Public-private partnerships,Human rights
Vulnerable,Nutrition,Hepatitis,Innovation,Reproductive rights,Open defecation,Hydroelectric,Insurance,Public policy,Homelessness,Land consumption,Materialism,Ecosystems,Marine,Indigenous populations,Illegal arms,Science cooperation agreements,Human well-being
Wealth distribution,Nutritional needs,HIV,International cooperation,Sexual and reproductive health,Pollution,Low carbon,Job creation,Quality of life,Homophobia,local materials,Materials goods,Emissions,Marine areas,Invasive alien species,Illicit financial flows,Technology cooperation agreements,Inclusive
,Nutritious,Improving mortality,Learning opportunities,Sexual exploitation,Recycled water,Modern electricity,Jobs,Regional infrastructure,Human rights,mitigation,Monitoring sustainable development,Extreme weather,Marine biodiversity,Land conservation,Inclusion,Technology transfer,Indigenous knowledge
